City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mtinko,-4.55,34.85,62.53,93,100,2.84,TZ,1612662775
Evensk,61.95,159.2333,18.64,84,100,28.5,RU,1612662775
Vila Franca do Campo,37.7167,-25.4333,59.0,88,75,23.02,PT,1612662775
Marsh Harbour,26.5412,-77.0636,75.07,85,0,17.94,BS,1612662775
San Andrés,12.5847,-81.7006,80.6,78,20,10.36,CO,1612662775
Fendou,46.65,124.8667,0.7,89,0,8.55,CN,1612662775
Daru,-9.0763,143.2092,89.15,61,17,8.86,PG,1612662775
Upernavik,72.7868,-56.1549,18.97,75,0,4.59,GL,1612662776
Sātkhira,22.7167,89.1,64.4,77,75,5.75,BD,1612662776
Vaitape,-16.5167,-151.75,83.08,65,0,9.98,PF,1612662776
Timrå,62.487,17.3257,15.8,86,4,11.5,SE,1612662363
Muyezerskiy,63.9333,31.65,12.96,95,100,10.58,RU,1612662776
Mandera,3.9366,41.867,72.77,72,0,8.46,KE,1612662776
Juquiá,-24.3208,-47.6347,67.73,95,18,0.98,BR,1612662776
West Wendover,40.7391,-114.0733,53.6,22,1,28.77,US,1612662656
Koster,-25.863,26.8976,58.3,91,87,3.44,ZA,1612662777
‘Ewa Beach,21.3156,-158.0072,78.8,44,1,14.97,US,1612662483
Codrington,-38.2667,141.9667,60.4,64,100,12.3,AU,1612662777
Udangudi,8.4333,78.0167,72.34,82,40,14.2,IN,1612662777
Hithadhoo,-0.6,73.0833,81.3,75,61,12.77,MV,1612662777
Arraial do Cabo,-22.9661,-42.0278,75.13,83,100,4.81,BR,1612662777
Ten'gushevo,54.7686,42.7189,-8.63,90,98,10.38,RU,1612662777
Khanbari,27.3747,87.2039,51.12,51,10,3.71,NP,1612662738
Pritzwalk,53.1494,12.1741,27.0,63,96,7.0,DE,1612662778
Bilma,18.6853,12.9164,59.59,29,6,5.86,NE,1612662690
Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.4,59,40,13.42,RU,1612662561
Gonbad-e Kāvūs,37.25,55.1672,53.26,68,100,3.53,IR,1612662778
Kokorevka,52.5872,34.2778,-3.37,92,65,6.17,RU,1612662778
Aykhal,66.0,111.5,-31.04,82,3,8.86,RU,1612662698
Sisimiut,66.9395,-53.6735,24.42,79,0,21.21,GL,1612662247
Pangai,-19.8,-174.35,78.4,91,100,28.45,TO,1612662778
Sulangan,11.1373,123.7228,80.96,81,45,12.24,PH,1612662356
Lang Suan,9.9456,99.0785,82.4,65,0,3.44,TH,1612662779
Grand Gaube,-20.0064,57.6608,75.0,86,0,1.99,MU,1612662779
Baker City,44.7749,-117.8344,37.0,70,92,3.36,US,1612662779
Wajid,3.8093,43.2471,69.24,78,0,15.35,SO,1612662779
Porto Velho,-8.7619,-63.9039,77.0,94,20,2.3,BR,1612662779
Netivot,31.4222,34.5886,55.0,100,0,2.71,IL,1612662779
Dublin,37.7021,-121.9358,64.4,25,1,8.05,US,1612662779
Conde,-7.2597,-34.9075,78.8,83,20,4.61,BR,1612662780
Saint-Joseph,-21.3667,55.6167,78.8,69,40,6.91,RE,1612662780
Trenggalek,-8.05,111.7167,83.12,69,37,3.76,ID,1612662566
Adrar,20.5022,-10.0711,55.92,42,100,9.86,MR,1612662666
Mackay,-21.15,149.2,91.0,62,40,9.22,AU,1612662780
Goma,-1.6792,29.2228,64.67,70,78,3.27,CD,1612662780
Smolenskaya Oblast’,55.0,33.0,-4.04,91,34,6.6,RU,1612662780
Dekar,-21.5333,21.9333,66.94,94,100,8.5,BW,1612662780
Puerto Escondido,15.85,-97.0667,80.6,74,75,4.61,MX,1612662632
Semnan,35.5729,53.3971,46.65,65,92,2.77,IR,1612662780
Ketchikan,55.3422,-131.6461,37.4,80,90,8.05,US,1612662781
Gamba,-2.65,10.0,77.95,88,98,1.43,GA,1612662781
Swellendam,-34.0226,20.4417,66.2,88,12,3.44,ZA,1612662781
Nanortalik,60.1432,-45.2371,26.31,92,100,6.87,GL,1612662781
Nemuro,43.3236,145.575,21.9,96,100,16.17,JP,1612662501
Egvekinot,66.3167,-179.1667,-3.95,77,0,6.76,RU,1612662665
Mastung,29.7994,66.845,43.99,43,0,0.85,PK,1612662603
Sibu,2.3,111.8167,77.0,94,40,1.14,MY,1612662781
Amapá,1.0,-52.0,73.11,98,88,1.83,BR,1612662586
Riyadh,24.6877,46.7219,55.4,71,0,8.05,SA,1612662782
Salinópolis,-0.6136,-47.3561,79.05,88,100,9.33,BR,1612662782
Nipawin,53.3668,-104.0009,-20.2,63,1,8.05,CA,1612662782
Matara,5.9485,80.5353,75.47,86,65,4.7,LK,1612662755
Grindavik,63.8424,-22.4338,32.0,64,0,17.27,IS,1612662782
Seoul,37.5683,126.9778,44.6,93,90,4.61,KR,1612662783
Rāyadrug,14.7,76.8667,66.24,56,82,3.09,IN,1612662783
Lugovoy,42.9472,72.7644,39.29,76,100,6.33,KZ,1612662783
Bubaque,11.2833,-15.8333,78.51,53,51,23.53,GW,1612662783
Santa Cruz,30.4202,-9.5982,51.8,82,20,10.36,MA,1612662504
Yorkton,51.2167,-102.4677,-23.8,69,20,10.36,CA,1612662783
Bukama,-9.2,25.85,69.76,96,100,1.61,CD,1612662667
Miraflores,19.2167,-98.8083,71.6,33,1,13.8,MX,1612662783
Savannakhet,16.566,104.751,66.2,82,40,2.3,LA,1612662783
Jiangkou,25.4872,119.1986,60.8,88,90,4.47,CN,1612662535
Vuktyl,63.8567,57.3094,-22.27,87,100,11.86,RU,1612662494
Saqqez,36.2499,46.2735,40.23,86,100,2.57,IR,1612662784
Tela,15.7833,-87.45,78.8,83,20,4.61,HN,1612662784
Poya,-21.35,165.15,83.39,68,33,4.83,NC,1612662784
Pemberton,50.3164,-122.8027,35.6,93,90,2.3,CA,1612662784
Inhambane,-23.865,35.3833,76.32,89,98,7.65,MZ,1612662677
Nilagiri,21.4582,86.7722,61.95,72,0,5.3,IN,1612662785
Wanganui,-39.9333,175.05,73.99,53,80,13.0,NZ,1612662785
Zanjān,36.6736,48.4787,39.36,87,100,2.68,IR,1612662785
Sabang,5.8933,95.3214,82.69,73,28,16.6,ID,1612662785
Culebra,18.303,-65.301,78.8,73,20,8.05,PR,1612662631
Kumul,42.8,93.45,33.22,72,99,5.53,CN,1612662479
Wangou,42.0623,126.9127,13.08,81,0,3.6,CN,1612662785
Rumoi,43.9344,141.6428,26.8,94,100,4.81,JP,1612662786
Hōjō,33.9766,132.7777,55.4,71,20,9.22,JP,1612662786
Pitimbu,-7.4706,-34.8086,78.8,83,20,4.61,BR,1612662508
Tautira,-17.7333,-149.15,86.0,62,20,12.66,PF,1612662786
Ust'-Kut,56.7938,105.7672,10.49,93,100,5.44,RU,1612662786
Buenavista,8.9769,125.4089,81.68,70,100,1.66,PH,1612662786
